id_client,date_inscription,segment,ville,age
C00096,2021-05-25,Professionnel,Bordeaux,31.0
C00097,2024-03-13,Association,Lille,51.0
C00098,2021-01-22,Professionnel,Lyon,51.0
C00099,2021-04-27,Particulier,Strasbourg,38.0
C00100,2019-09-01,Particulier,Paris,
C00101,2019-07-11,Particulier,Bordeaux,24.0
C00102,2021-07-06,Particulier,  Strasbourg ,47.0
C00103,2023-01-16,Professionnel,LILLE,
C00104,2023-10-25,Professionnel,Paris,50.0
C00105,2022-08-24,Association,Marseille,42.0
C00106,2019-06-30,Professionnel,BORDEAUX,
C00107,2021-06-25,Particulier,Strasbourg,51.0
C00108,2023-12-27,Particulier,PARIS,39.0
C00109,2019-11-09,Particulier,Nantes,24.0
C00110,2020-04-22,Particulier,STRASBOURG,50.0
C00111,2024-04-20,Association,Toulouse,55.0
C00112,2023-08-03,Particulier,toulouse,58.0
C00113,2022-01-01,Professionnel,Paris,33.0
C00114,2023-01-09,Particulier,  Toulouse ,51.0
C00115,2021-11-11,Association,Lyon,46.0
C00116,2022-05-17,Particulier,Paris,17.0
C00117,2021-04-03,Particulier,PARIS,34.0
C00118,2024-05-14,Professionnel,Lille,38.0
C00119,2023-10-12,Professionnel,lille,58.0
C00120,2020-08-25,Particulier,Bordeaux,36.0
C00121,2021-06-04,Association,bordeaux,39.0
C00122,2021-03-19,Association,NANTES,41.0
C00123,2024-03-10,Particulier,  Lille ,30.0
C00124,2022-05-06,Particulier,Toulouse,30.0
C00125,2023-08-08,Particulier,Nantes,26.0
C00126,2019-03-14,Particulier,Strasbourg,55.0
C00127,2019-07-10,Professionnel,Lille,35.0
C00128,2022-07-19,Professionnel,  Bordeaux ,36.0
C00129,2020-11-16,Professionnel,Nantes,41.0
C00130,2020-12-22,Association,Bordeaux,42.0
C00131,2019-09-14,Association,Bordeaux,38.0
C00132,2023-05-19,Particulier,Marseille,49.0
C00133,2023-10-04,Association,MARSEILLE,37.0
C00134,2020-10-30,Particulier,  Bordeaux ,17.0
C00135,2023-12-11,Particulier,Lyon,21.0
C00136,2021-01-14,Professionnel,Lille,-1.0
C00137,2021-10-13,Particulier,Lyon,72.0
C00138,2023-03-25,Particulier,Lille,20.0
C00139,2023-02-15,Particulier,Marseille,39.0
C00140,2020-02-23,Professionnel,nantes,32.0
C00141,2021-04-15,Association,Bordeaux,28.0
C00142,2023-08-06,Professionnel,lyon,59.0
C00143,2023-08-13,Particulier,STRASBOURG,42.0
C00144,2021-05-17,Particulier,paris,28.0
C00145,2020-05-03,Association,LILLE,20.0
C00146,2020-08-07,Particulier,Lyon,9.0
C00147,2019-01-28,Particulier,  Lille ,30.0
C00148,2022-06-29,Professionnel,Toulouse,38.0
C00149,2022-05-12,Particulier,Nantes,50.0
C00150,2020-11-07,Association,Strasbourg,44.0
C00151,2022-10-10,Association,Toulouse,37.0
C00152,2022-03-20,Particulier,Marseille,29.0
C00153,2019-02-13,Particulier,Toulouse,41.0
C00154,2019-12-22,Particulier,lille,38.0
C00155,2022-04-30,Association,Marseille,43.0
C00156,2022-04-11,Professionnel,  Lyon ,29.0
C00157,2021-11-17,Professionnel,Paris,58.0
C00158,2021-08-13,Association,Strasbourg,9.0
C00159,2020-07-23,Association,Toulouse,27.0
C00160,2019-08-17,Professionnel,Paris,30.0
C00161,2024-04-07,Professionnel,Nantes,25.0
C00162,2020-07-30,Professionnel,Lyon,35.0
C00163,2019-01-10,Particulier,NANTES,35.0
C00164,2021-09-06,Association,Strasbourg,17.0
C00165,2020-04-28,Particulier,Strasbourg,57.0
C00166,2022-01-15,Professionnel,Lyon,50.0
C00167,2020-04-21,Particulier,Toulouse,47.0
C00168,2019-08-07,Association,Marseille,46.0
C00169,2019-01-17,Association,Nantes,50.0
C00170,2019-04-08,Association,Lille,35.0
C00171,2021-06-06,Particulier,Lyon,32.0
C00172,2019-03-01,Professionnel,Bordeaux,58.0
C00173,2020-05-24,Particulier,Lille,61.0
C00174,2023-09-03,Association,Toulouse,36.0
C00175,2019-08-18,Particulier,Marseille,26.0
C00176,2019-06-19,Professionnel,Nantes,50.0
C00177,2021-12-03,Association,  Marseille ,36.0
C00178,2019-10-01,Particulier,Bordeaux,24.0
C00179,2023-01-09,Professionnel,Bordeaux,35.0
C00180,2021-09-20,Particulier,Lyon,26.0
C00181,2020-12-02,Particulier,LYON,29.0
C00182,2022-06-23,Association,Strasbourg,19.0
C00183,2024-04-08,Professionnel,Marseille,36.0
C00184,2023-11-29,Particulier,Marseille,47.0
C00185,2020-09-04,Professionnel,Lyon,51.0
C00186,2022-07-30,Particulier,  Bordeaux ,51.0
C00187,2019-12-21,Particulier,Marseille,46.0
C00188,2022-01-27,Particulier,Paris,51.0
C00189,2023-09-18,Particulier,Toulouse,34.0
C00190,2023-06-18,Professionnel,Marseille,34.0
C00191,2019-12-09,Professionnel,STRASBOURG,999.0
C00192,2024-03-25,Professionnel,Marseille,53.0
C00193,2024-02-20,Association,BORDEAUX,30.0
C00194,2020-05-07,Professionnel,Paris,38.0
C00195,2023-04-30,Particulier,PARIS,27.0
C00196,2021-02-08,Professionnel,Nantes,29.0
C00197,2024-05-08,Particulier,Paris,49.0
C00198,2019-01-04,Particulier,Lyon,40.0
C00199,2019-08-11,Professionnel,Paris,20.0
C00200,2021-05-12,Professionnel,Lille,39.0
C00201,2020-04-03,Particulier,  Toulouse ,
C00202,2022-09-28,Particulier,Toulouse,50.0
C00203,2021-08-23,Particulier,Lyon,46.0
C00204,2019-10-28,Professionnel,lyon,44.0
C00205,2019-06-29,Particulier,paris,51.0
C00206,2019-08-10,Professionnel,  Lyon ,56.0
C00207,2020-04-06,Professionnel,Bordeaux,42.0
C00208,2023-09-03,Professionnel,marseille,36.0
C00209,2024-06-13,Association,  Bordeaux ,37.0
C00210,2021-06-27,Association,Bordeaux,55.0
C00211,2023-01-08,Professionnel,  Bordeaux ,49.0
C00212,2022-04-16,Particulier,Paris,50.0
C00213,2023-07-05,Particulier,LYON,17.0
C00214,2019-02-08,Professionnel,Lille,
C00215,2020-08-26,Professionnel,  Lyon ,44.0
C00216,2022-04-02,Particulier,lyon,26.0
C00217,2019-05-01,Particulier,Lyon,24.0
C00218,2019-01-09,Association,Marseille,52.0
C00219,2021-02-15,Particulier,Paris,41.0
C00220,2021-12-08,Particulier,  Lille ,31.0
C00221,2021-06-13,Professionnel,  Bordeaux ,46.0
C00222,2023-07-31,Particulier,Strasbourg,54.0
C00223,2023-08-22,Association,  Paris ,30.0
C00224,2022-01-12,Professionnel,Lyon,57.0
C00225,2023-03-07,Professionnel,Lille,
C00226,2021-04-18,Association,LYON,33.0
C00227,2020-12-17,Professionnel,Bordeaux,32.0
C00228,2023-11-15,Professionnel,Toulouse,44.0
C00229,2020-12-20,Association,lille,59.0
C00230,2023-09-14,Association,strasbourg,13.0
C00231,2023-10-26,Professionnel,Strasbourg,41.0
C00232,2021-10-31,Particulier,Lille,46.0
C00233,2024-03-14,Professionnel,NANTES,36.0
C00234,2023-09-28,Association,NANTES,59.0
C00235,2021-05-12,Professionnel,TOULOUSE,65.0
C00236,2021-01-24,Professionnel,Strasbourg,42.0
C00237,2022-06-07,Particulier,Nantes,52.0
C00238,2021-03-29,Particulier,Lille,34.0
C00239,2019-05-16,Particulier,Bordeaux,
C00240,2019-09-20,Particulier,Toulouse,15.0
C00241,2019-02-17,Association,  Lyon ,22.0
C00242,2023-02-16,Professionnel,  Lille ,51.0
C00243,2024-05-05,Particulier,Strasbourg,33.0
C00244,2020-06-02,Particulier,Lille,50.0
C00245,2020-05-04,Professionnel,Paris,15.0
C00246,2020-05-19,Particulier,Lyon,40.0
C00247,2023-03-26,Association,Marseille,26.0
C00248,2024-03-20,Professionnel,marseille,57.0
C00249,2020-03-20,Professionnel,PARIS,18.0
C00250,2022-05-18,Particulier,nantes,41.0
C00251,2021-06-27,Particulier,Bordeaux,32.0
C00252,2023-01-10,Professionnel,Bordeaux,46.0
C00253,2019-08-10,Professionnel,Marseille,61.0
C00254,2024-02-27,Particulier,Bordeaux,24.0
C00255,2021-02-08,Particulier,Paris,31.0
C00256,2021-04-07,Particulier,  Nantes ,53.0
C00257,2019-09-26,Association,Lille,28.0
C00258,2021-11-27,Professionnel,  Bordeaux ,36.0
C00259,2019-03-15,Association,Lyon,33.0
C00260,2021-11-01,Particulier,Marseille,46.0
C00261,2023-07-09,Particulier,lille,41.0
C00262,2024-03-19,Particulier,Lyon,45.0
C00263,2021-01-15,Professionnel,lille,39.0
C00264,2019-03-02,Particulier,Toulouse,52.0
C00265,2024-01-05,Professionnel,Paris,44.0
C00266,2021-11-29,Professionnel,Bordeaux,45.0
C00267,2023-06-22,Professionnel,Lyon,46.0
C00268,2024-01-16,Professionnel,TOULOUSE,58.0
C00269,2019-04-25,Professionnel,Marseille,40.0
C00270,2023-05-07,Professionnel,Nantes,27.0
C00271,2020-07-28,Professionnel,LYON,23.0
C00272,2020-07-15,Association,Marseille,41.0
C00273,2021-05-18,Particulier,Paris,43.0
C00274,2024-01-18,Professionnel,Lyon,55.0
C00275,2020-08-28,Professionnel,Marseille,46.0
C00276,2024-03-15,Professionnel,bordeaux,50.0
C00277,2024-05-26,Association,MARSEILLE,22.0
C00278,2023-11-20,Professionnel,Marseille,37.0
C00279,2023-02-10,Professionnel,  Nantes ,
C00280,2021-01-02,Professionnel,Nantes,45.0
C00281,2019-10-27,Professionnel,Nantes,42.0
C00282,2021-04-18,Particulier,Marseille,35.0
C00283,2021-07-17,Particulier,nantes,45.0
C00284,2022-08-27,Particulier,Marseille,45.0
C00285,2023-11-10,Particulier,nantes,34.0
C00286,2023-09-18,Professionnel,Strasbourg,41.0
C00287,2023-10-09,Particulier,lyon,49.0
C00288,2022-09-11,Association,marseille,49.0
C00289,2021-12-27,Professionnel,Strasbourg,12.0
C00290,2020-05-25,Particulier,Nantes,56.0
C00291,2021-11-04,Particulier,Nantes,47.0
C00292,2021-03-11,Professionnel,Bordeaux,33.0
C00293,2019-12-19,Association,Strasbourg,
C00294,2021-12-25,Professionnel,Toulouse,31.0
C00295,2023-06-07,Particulier,Lille,48.0
C00296,2023-08-14,Association,Marseille,38.0
C00297,2020-04-11,Professionnel,Strasbourg,23.0
C00298,2020-04-25,Professionnel,  Nantes ,42.0
C00299,2021-07-12,Professionnel,Nantes,59.0
C00300,2023-06-21,Particulier,nantes,40.0
C00301,2019-03-20,Particulier,Toulouse,59.0
C00302,2019-10-04,Professionnel,LYON,38.0
C00303,2021-06-20,Association,toulouse,43.0
C00304,2021-04-25,Particulier,Paris,59.0
C00305,2022-06-19,Particulier,bordeaux,46.0
C00306,2020-06-25,Particulier,Lyon,22.0
C00307,2022-11-22,Professionnel,strasbourg,37.0
C00308,2022-01-09,Particulier,Bordeaux,43.0
C00309,2019-01-03,Association,Bordeaux,40.0
C00310,2019-07-10,Professionnel,Paris,57.0
C00311,2020-08-16,Particulier,Nantes,48.0
C00312,2022-09-06,Professionnel,Marseille,23.0
C00313,2023-12-18,Professionnel,Marseille,51.0
C00314,2023-02-06,Professionnel,Lyon,37.0
C00315,2020-06-18,Particulier,Toulouse,55.0
C00316,2019-11-04,Particulier,MARSEILLE,46.0
C00317,2020-03-29,Particulier,Bordeaux,37.0
C00318,2019-03-11,Particulier,Paris,39.0
C00319,2019-02-22,Particulier,Nantes,29.0
C00320,2021-12-13,Particulier,BORDEAUX,38.0
C00321,2021-12-27,Professionnel,  Toulouse ,41.0
C00322,2021-10-05,Professionnel,Lyon,10.0
C00323,2021-04-03,Particulier,toulouse,41.0
C00324,2019-08-26,Professionnel,strasbourg,
C00325,2019-03-29,Professionnel,Paris,53.0
C00326,2019-10-02,Association,Toulouse,42.0
C00327,2020-01-03,Association,Nantes,9.0
C00328,2020-01-20,Professionnel,Lille,37.0
C00329,2020-05-18,Professionnel,Lyon,
C00330,2023-07-16,Particulier,LILLE,36.0
C00331,2024-02-05,Professionnel,Nantes,39.0
C00332,2021-04-17,Particulier,Marseille,31.0
C00333,2019-11-12,Particulier,  Toulouse ,46.0
C00334,2020-09-21,Particulier,Lyon,49.0
C00335,2020-12-25,Particulier,bordeaux,36.0
C00336,2022-07-16,Professionnel,Toulouse,60.0
C00337,2023-07-19,Particulier,Lyon,50.0
C00338,2020-03-06,Particulier,marseille,
C00339,2019-02-23,Particulier,BORDEAUX,23.0
C00340,2021-04-25,Professionnel,paris,-1.0
C00341,2019-12-27,Particulier,Lyon,29.0
C00342,2020-12-15,Particulier,Bordeaux,
C00343,2023-05-22,Association,Marseille,6.0
C00344,2019-08-03,Particulier,Toulouse,25.0
C00345,2020-02-03,Association,Paris,57.0
C00346,2021-11-18,Particulier,NANTES,
C00347,2019-05-05,Particulier,Strasbourg,48.0
C00348,2023-06-01,Association,Strasbourg,25.0
C00349,2021-11-27,Particulier,Lyon,42.0
C00350,2021-03-06,Professionnel,toulouse,48.0
C00351,2020-03-09,Particulier,BORDEAUX,57.0
C00352,2022-03-24,Professionnel,Paris,54.0
C00353,2023-05-21,Professionnel,Marseille,17.0
C00354,2021-02-21,Professionnel,Nantes,60.0
C00355,2021-02-06,Particulier,Marseille,31.0
C00356,2020-10-03,Association,Marseille,63.0
C00357,2020-09-03,Particulier,Marseille,42.0
C00358,2020-03-05,Professionnel,Toulouse,39.0
C00359,2021-11-18,Professionnel,Bordeaux,49.0
C00360,2022-08-30,Association,Paris,36.0
C00361,2019-07-27,Association,Paris,41.0
C00362,2019-03-19,Association,Bordeaux,38.0
C00363,2020-11-02,Professionnel,Nantes,14.0
C00364,2021-07-20,Particulier,Lyon,23.0
C00365,2023-10-28,Association,Paris,51.0
C00366,2020-06-24,Professionnel,Paris,13.0
C00367,2020-03-05,Professionnel,Lyon,20.0
C00368,2023-09-08,Association,Toulouse,41.0
C00369,2022-03-05,Particulier,LYON,48.0
C00370,2021-08-21,Particulier,Bordeaux,
C00371,2023-12-26,Particulier,Bordeaux,36.0
C00372,2019-08-25,Association,Lyon,46.0
C00373,2022-11-13,Particulier,Toulouse,38.0
C00374,2021-11-06,Professionnel,Strasbourg,31.0
C00375,2022-06-07,Professionnel,Lille,
C00376,2019-03-22,Professionnel,Lyon,20.0
C00377,2021-06-13,Particulier,lille,16.0
C00378,2019-07-13,Professionnel,Lyon,46.0
C00379,2021-04-09,Association,STRASBOURG,49.0
C00380,2023-10-09,Association,Strasbourg,46.0
C00381,2020-12-29,Particulier,Nantes,27.0
C00382,2024-04-01,Professionnel,Lille,52.0
C00383,2021-11-10,Association,PARIS,
C00384,2023-08-02,Association,TOULOUSE,65.0
C00385,2024-02-17,Particulier,Paris,34.0
C00386,2022-02-08,Professionnel,Toulouse,52.0
C00387,2019-12-11,Association,  Lille ,36.0
C00388,2020-07-26,Particulier,BORDEAUX,57.0
C00389,2019-09-12,Professionnel,Strasbourg,51.0
C00390,2023-08-12,Particulier,bordeaux,45.0
C00391,2020-08-23,Professionnel,Strasbourg,44.0
C00392,2024-04-27,Particulier,Lyon,36.0
C00393,2023-09-22,Particulier,Nantes,42.0
C00394,2019-06-29,Professionnel,Paris,29.0
C00395,2020-01-23,Association,Paris,33.0
C00396,2019-11-12,Association,Marseille,48.0
C00397,2021-02-06,Professionnel,Lyon,22.0
C00398,2020-04-17,Professionnel,paris,34.0
C00399,2019-10-24,Particulier,Paris,44.0
C00400,2021-12-10,Professionnel,marseille,35.0
C00401,2023-09-23,Professionnel,Nantes,57.0
C00402,2020-11-26,Particulier,lyon,53.0
C00403,2022-05-26,Association,Paris,38.0
C00404,2021-12-16,Particulier,Paris,43.0
C00405,2019-12-15,Professionnel,Lyon,52.0
C00406,2022-12-14,Association,Toulouse,
C00407,2023-07-03,Particulier,Lyon,44.0
C00408,2021-10-13,Association,Paris,24.0
C00409,2021-10-22,Particulier,Lille,45.0
C00410,2022-03-31,Particulier,Nantes,44.0
C00411,2022-04-10,Association,Lyon,37.0
C00412,2021-08-09,Professionnel,Marseille,39.0
C00413,2023-02-04,Professionnel,Paris,39.0
C00414,2023-09-09,Professionnel,Lyon,45.0
C00415,2023-04-06,Professionnel,Nantes,29.0
C00416,2021-04-30,Professionnel,Bordeaux,
C00417,2021-09-06,Particulier,toulouse,18.0
C00418,2019-09-20,Particulier,Marseille,11.0
C00419,2020-03-25,Association,  Lyon ,68.0
C00420,2024-03-27,Professionnel,paris,46.0
C00421,2020-10-18,Professionnel,Lyon,999.0
C00422,2022-11-17,Association,Lyon,23.0
C00423,2023-05-24,Particulier,  Lyon ,32.0
C00424,2019-09-12,Professionnel,Lille,36.0
C00425,2021-04-25,Particulier,Bordeaux,26.0
C00426,2023-06-19,Particulier,Paris,32.0
C00427,2020-11-10,Particulier,lille,38.0
C00428,2021-02-23,Professionnel,Marseille,66.0
C00429,2020-01-03,Particulier,lyon,48.0
C00430,2020-08-28,Association,nantes,43.0
C00431,2019-04-29,Association,Marseille,36.0
C00432,2023-10-01,Professionnel,Paris,37.0
C00433,2023-07-23,Association,Strasbourg,55.0
C00434,2019-06-12,Professionnel,Toulouse,49.0
C00435,2021-09-10,Particulier,Paris,53.0
C00436,2023-08-01,Association,nantes,50.0
C00437,2019-05-18,Association,Paris,60.0
C00438,2023-11-15,Particulier,Paris,39.0
C00439,2023-07-03,Professionnel,Marseille,17.0
C00440,2022-01-19,Professionnel,strasbourg,20.0
C00441,2023-02-02,Particulier,Marseille,36.0
C00442,2023-07-27,Particulier,paris,51.0
C00443,2020-03-27,Professionnel,  Nantes ,35.0
C00444,2019-10-08,Particulier,Toulouse,28.0
C00445,2024-04-04,Particulier,Nantes,43.0
C00446,2021-05-09,Association,  Paris ,38.0
C00447,2022-05-01,Professionnel,Lille,22.0
C00448,2020-03-02,Professionnel,Toulouse,12.0
C00449,2023-11-01,Particulier,paris,39.0
C00450,2023-06-08,Professionnel,Nantes,19.0
C00451,2019-11-09,Particulier,paris,28.0
C00452,2021-03-31,Particulier,Bordeaux,38.0
C00453,2023-01-17,Professionnel,Lille,46.0
C00454,2021-03-17,Particulier,  Nantes ,27.0
C00455,2019-06-23,Professionnel,STRASBOURG,57.0
C00456,2020-02-06,Particulier,Lyon,
C00457,2020-01-20,Professionnel,Lyon,36.0
C00458,2020-06-16,Professionnel,  Nantes ,42.0
C00459,2019-02-17,Association,Marseille,78.0
C00460,2023-08-21,Professionnel,LILLE,48.0
C00461,2023-04-23,Professionnel,Lille,56.0
C00462,2024-01-09,Professionnel,Lille,61.0
C00463,2021-11-12,Particulier,Toulouse,25.0
C00464,2022-05-22,Professionnel,paris,44.0
C00465,2019-11-15,Association,Toulouse,53.0
C00466,2023-10-20,Particulier,Paris,47.0
C00467,2019-11-19,Professionnel,  Bordeaux ,49.0
C00468,2020-04-21,Particulier,Strasbourg,56.0
C00469,2023-09-12,Particulier,Bordeaux,34.0
C00470,2020-05-08,Professionnel,Toulouse,37.0
C00471,2023-05-13,Particulier,Nantes,18.0
C00472,2022-12-14,Professionnel,Paris,26.0
C00473,2020-12-12,Professionnel,Strasbourg,56.0
C00474,2019-07-07,Professionnel,Lyon,44.0
C00475,2021-10-30,Professionnel,Lille,20.0
C00476,2023-11-03,Professionnel,Lille,20.0
C00477,2020-04-15,Professionnel,Marseille,31.0
C00478,2019-02-18,Particulier,Strasbourg,34.0
C00479,2022-04-25,Particulier,LYON,49.0
C00480,2023-09-27,Professionnel,Toulouse,52.0
C00481,2023-10-01,Particulier,Paris,38.0
C00482,2023-09-30,Particulier,Bordeaux,24.0
C00483,2021-12-31,Professionnel,Nantes,71.0
C00484,2020-04-06,Particulier,Toulouse,34.0
C00485,2019-08-04,Professionnel,Paris,44.0
C00486,2021-08-10,Particulier,Paris,54.0
C00487,2019-02-04,Association,Lille,11.0
C00488,2022-03-03,Particulier,Strasbourg,42.0
C00489,2022-09-18,Association,Lyon,48.0
C00490,2020-02-28,Particulier,marseille,32.0
C00491,2019-05-03,Association,PARIS,42.0
C00492,2023-07-13,Professionnel,Bordeaux,41.0
C00493,2021-03-29,Association,Bordeaux,38.0
C00494,2022-11-26,Particulier,Strasbourg,23.0
C00495,2019-05-17,Particulier,Lille,999.0
C00496,2019-11-04,Professionnel,Lille,23.0
C00497,2024-03-20,Professionnel,Lyon,33.0
C00498,2023-03-11,Particulier,strasbourg,30.0
C00499,2022-07-24,Association,  Marseille ,33.0
C00500,2020-08-02,Particulier,Lyon,70.0
C00501,2019-11-07,Professionnel,bordeaux,25.0
C00502,2022-09-11,Professionnel,BORDEAUX,
C00503,2019-04-13,Particulier,NANTES,51.0
C00504,2021-05-31,Professionnel,marseille,36.0
C00505,2021-07-16,Professionnel,Nantes,24.0
C00506,2021-09-25,Particulier,Bordeaux,23.0
C00507,2024-04-01,Professionnel,Bordeaux,60.0
C00508,2019-05-24,Particulier,Paris,28.0
C00509,2020-10-31,Particulier,Bordeaux,55.0
C00510,2021-06-20,Professionnel,bordeaux,19.0
C00511,2022-03-20,Particulier,Lyon,37.0
C00512,2023-01-06,Professionnel,Bordeaux,39.0
C00513,2019-07-31,Association,paris,
C00514,2020-10-14,Particulier,Lyon,42.0
C00515,2019-11-03,Particulier,Nantes,40.0
C00516,2023-02-21,Particulier,Lyon,15.0
C00517,2022-12-22,Particulier,  Toulouse ,43.0
C00518,2022-03-10,Professionnel,Nantes,
C00519,2020-11-12,Professionnel,Strasbourg,51.0
C00520,2020-02-12,Particulier,Marseille,49.0
C00521,2024-02-21,Particulier,Bordeaux,29.0
C00522,2023-12-18,Professionnel,  Strasbourg ,26.0
C00523,2022-06-27,Professionnel,Toulouse,42.0
C00524,2022-06-27,Particulier,Bordeaux,29.0
C00525,2021-04-28,Particulier,lille,52.0
C00526,2023-08-29,Association,bordeaux,41.0
C00527,2024-05-23,Professionnel,LILLE,49.0
C00528,2019-12-21,Particulier,  Paris ,49.0
C00529,2019-01-21,Particulier,Nantes,38.0
C00530,2023-08-25,Particulier,Paris,49.0
C00531,2022-09-11,Particulier,LYON,
C00532,2023-11-22,Particulier,nantes,49.0
C00533,2020-11-05,Professionnel,paris,52.0
C00534,2022-08-12,Particulier,Toulouse,27.0
C00535,2023-10-09,Particulier,  Nantes ,64.0
C00536,2020-12-20,Professionnel,TOULOUSE,59.0
C00537,2021-08-22,Professionnel,LYON,14.0
C00538,2022-07-12,Particulier,Bordeaux,0.0
C00539,2020-03-19,Professionnel,BORDEAUX,30.0
C00540,2022-04-21,Professionnel,BORDEAUX,
C00541,2022-02-24,Particulier,Lyon,35.0
C00542,2023-07-07,Professionnel,lyon,48.0
C00543,2021-12-01,Particulier,Strasbourg,25.0
C00544,2019-01-25,Association,Bordeaux,46.0
C00545,2020-04-10,Association,Toulouse,48.0
C00546,2023-08-27,Particulier,Paris,32.0
C00547,2022-06-30,Professionnel,bordeaux,21.0
C00548,2019-05-31,Professionnel,Nantes,55.0
C00549,2022-12-16,Professionnel,  Nantes ,999.0
C00550,2023-01-06,Particulier,lyon,18.0
C00551,2022-12-27,Particulier,Marseille,57.0
C00552,2020-03-06,Association,Paris,25.0
