id_commande,date_commande,id_client,id_produit,id_magasin,quantite,prix_unitaire,remise_pct,canal,statut,ville_livraison
CMD0002897,2024/12/02 16:17,C01753,P0027,M07,2,554.68,0.0,web,livre,Marseille
CMD0004876,10 Nov 2024,C00672,P0028,M08,2,73.26,0.0,boutique,livre,Lyon
CMD0017859,2023/07/13 11:18,C00875,P0031,M07,3,"952,06 EUR",20.0,boutique,livre,Nantes
CMD0014728,2024-04-16,C02007,P0008,M07,1,885.31,20.0,telephone,livre,LYON
CMD0016079,12-10-2024,C00675,P0012,M03,3,"1062,70 EUR",0.0,telephone,livre,Toulouse
CMD0009645,2024/09/17 09:03,C01031,P0027,M99,1,566.89,0.0,web,livre,Paris
CMD0015033,07-09-2023,C01418,P0021,M08,1,996.13,0.0,boutique,livre,Lille
CMD0009790,22-09-2023,C00678,P0033,M07,3,440.6,5.0,telephone,livre,Paris
CMD0016896,2024/08/15 16:19,C00874,P0027,M06,1,522.52,0.0,boutique,livre,Lille
CMD0017557,15/01/2024,C01322,P0008,M99,3,978.72,0.0,web,livre,LILLE
CMD0013217,23/09/2024,C01953,P0029,M04,1,217.92,0.0,telephone,livre,TOULOUSE
CMD0013036,2023/12/31 13:44,C02156,P0013,M06,4,818.22,,telephone,livre,Marseille
CMD0006343,21 Aug 2024,C02435,P0010,M03,1,555.64,5.0,telephone,livre,Lille
CMD0016527,2024-01-08,C02187,P0027,M05,2,552.38,5.0,boutique,retourne,Lille
CMD0009668,12-01-2023,C02631,P0031,M99,2,844.79,15.0,web,livre,Bordeaux
CMD0002349,09-08-2023,C02562,P0035,M01,2,"591,16 EUR",5.0,WEB,livre,Marseille
CMD0003972,08-10-2023,C00936,P0030,M05,1,748.32,0.0,web,livre,Lyon
CMD0003668,23 Jul 2023,C01172,P0039,M07,1,295.45,0.0,telephone,retourne,Strasbourg
CMD0017042,2023-07-27,C01273,P0007,M04,3,914.57,0.0,BOUTIQUE,livre,lyon
CMD0014849,2023-11-10,C01159,P0027,M02,5,539.14,,telephone,livre,Paris
CMD0003365,14/10/2024,C01717,P0035,M01,3,534.48,0.0,web,livre,Paris
CMD0012887,14 Jul 2024,C01155,P0031,M03,3,858.61,20.0,telephone,livre,Toulouse
CMD0002500,30/12/2024,C02128,P0001,M07,1,964.43,,TELEPHONE,annule,  Nantes 
CMD0007339,2023-04-01,C02824,P0003,M08,3,1005.24,0.0,boutique,retourne,Marseille
CMD0016465,2024/07/31 13:18,C00520,P0008,M04,3,998.08,20.0,telephone,annule,Paris
CMD0012825,15 Jan 2024,C00356,P0032,M02,3,1117.63,10.0,web,livre,Paris
CMD0007699,2023/10/10 19:45,C00072,P0019,M07,1,961.94,0.0,web,livre,Bordeaux
CMD0013042,23-07-2024,C01387,P0036,M01,2,242.48,0.0,telephone,livre,Bordeaux
CMD0008146,12-10-2023,C01533,P0026,M05,3,237.64,0.0,boutique,annule,Marseille
CMD0005418,2023-10-23,C00103,P0029,M99,2,216.85,10.0,boutique,livre,Bordeaux
CMD0012437,11 Apr 2023,C01548,P0007,M02,1,916.81,15.0,BOUTIQUE,livre,nantes
CMD0012049,2023/03/11 15:12,C00394,P0005,M06,2,119.12,0.0,boutique,retourne,Lyon
CMD0002218,08/06/2024,C02100,P0002,M04,3,506.73,5.0,web,retourne,  Bordeaux 
CMD0017962,07-03-2023,C01779,P0007,M99,1,884.49,20.0,boutique,livre,  Nantes 
CMD0017854,15/06/2024,990025,P0014,M06,1,1027.77,15.0,BOUTIQUE,livre,Strasbourg
CMD0002905,22/07/2024,C02700,P0021,M08,3,938.08,,web,livre,Strasbourg
CMD0006832,17/03/2024,C01096,P0031,M01,3,966.93,0.0,boutique,livre,Marseille
CMD0014177,06-01-2024,C00319,P0028,M02,3,69.61,0.0,  boutique ,livre,Toulouse
CMD0016262,2023/11/30 09:26,C00252,P0014,M06,1,939.8,15.0,web,livre,  Strasbourg 
CMD0017497,2024/11/21 17:53,C02048,P0038,M07,2,617.78,0.0,boutique,annule,  Bordeaux 
CMD0011817,04-10-2024,C00782,P0004,M99,2,863.32,10.0,web,livre,LILLE
CMD0009684,2023-05-06,C01383,P0014,M05,3,943.53,5.0,web,annule,Strasbourg
CMD0017832,2024-01-25,C01605,P0001,M03,1,854.53,10.0,web,livre,Marseille
CMD0009138,,C01872,P0002,M04,2,532.29,15.0,web,livre,TOULOUSE
CMD0006955,2024/12/11 10:06,C00229,P0031,M07,4,872.28,0.0,web,livre,lyon
CMD0006080,31 Jan 2023,C00229,P0035,M03,3,536.08,5.0,web,livre,  Marseille 
CMD0000127,06 Jun 2024,C00539,P0026,M01,3,257.81,10.0,web,livre,Bordeaux
CMD0010113,01-01-2024,C01013,P0009,M08,2,181.42,0.0,  web ,annule,Strasbourg
CMD0006739,17 Jul 2024,C02906,P0006,M03,1,1113.98,0.0,boutique,retourne,Toulouse
CMD0016175,2024/01/07 10:54,C02785,P0006,M05,3,1212.8,0.0,telephone,livre,Strasbourg
CMD0005361,16 Nov 2024,C01289,P0011,M06,1,424.81,15.0,  web ,retourne,Strasbourg
CMD0005785,2023/02/16 20:55,C02855,P0031,M05,1,943.41,0.0,web,livre,Strasbourg
CMD0016024,2024-06-08,C02479,P0016,M04,1,274.17,15.0,web,livre,marseille
CMD0013887,11/03/2024,C02784,P0024,M08,1,1083.43,0.0,web,annule,Paris
CMD0010841,21 Sep 2023,C00284,P0020,M01,3,700.32,0.0,boutique,livre,lyon
CMD0000761,09-02-2023,C02155,P0029,M05,2,214.36,0.0,WEB,livre,Lyon
CMD0010842,20-01-2024,C00185,P0006,M02,2,1082.54,,web,livre,Strasbourg
CMD0004537,11 Mar 2024,C02999,P0021,M03,1,915.26,,web,livre,Marseille
CMD0014820,13-03-2024,C02601,P0025,M07,1,889.65,,boutique,livre,Lille
CMD0006193,09/10/2023,C00876,P0011,M08,3,416.42,5.0,BOUTIQUE,retourne,Nantes
CMD0014749,19/01/2023,C00036,P0038,M04,2,582.67,10.0,web,annule,Marseille
CMD0015747,2023/02/17 13:28,C02234,P0009,M01,3,175.69,0.0,boutique,annule,Paris
CMD0013849,27-04-2023,C00195,P0007,M01,1,882.45,0.0,web,retourne,Lyon
CMD0012720,24 Dec 2024,C00097,P0022,M02,2,473.34,20.0,  web ,livre,Toulouse
CMD0016006,2023/05/27 11:09,C01925,P0011,M07,2,473.35,0.0,web,livre,TOULOUSE
CMD0010353,29/05/2023,C02802,P0029,M02,2,194.27,,WEB,retourne,Lille
CMD0003341,2023-09-18,C01827,P0018,M02,1,87.24,10.0,  web ,livre,  Marseille 
CMD0009559,2024-02-17,C00400,P0022,M08,1,423.41,20.0,boutique,livre,TOULOUSE
CMD0009533,2023/04/20 18:28,C02431,P0024,M04,1,1090.54,0.0,web,livre,Lyon
CMD0017484,01/05/2024,C02116,P0024,M06,2,1132.75,10.0,web,livre,Lille
CMD0004435,03-10-2023,990054,P0034,M01,3,415.8,0.0,web,livre,Marseille
CMD0000061,2024/09/01 11:21,C01688,P0007,M99,3,981.28,5.0,telephone,annule,paris
CMD0003858,2023/09/08 12:37,C01330,P0009,M99,2,"175,45 EUR",15.0,boutique,livre,Bordeaux
CMD0017031,23-09-2024,C02427,P0033,M04,3,419.18,5.0,telephone,retourne,  Paris 
CMD0010379,2023/02/10 20:19,C01147,P0027,M07,3,"524,21 EUR",5.0,web,livre,  Lyon 
CMD0014811,2023-03-23,C01595,P0037,M08,1,170.27,15.0,  boutique ,livre,Lyon
CMD0014942,2023/04/14 18:37,C00681,P0025,M03,2,954.25,0.0,web,retourne,Bordeaux
CMD0001191,26 May 2024,C00728,P0024,M03,2,1095.9,5.0,web,livre,Toulouse
CMD0013595,2024/11/15 17:50,C01655,P0030,M08,2,763.6,5.0,boutique,livre,TOULOUSE
CMD0008758,2023-04-27,C01766,P0014,M02,2,894.89,0.0,web,livre,Toulouse
CMD0005117,01-11-2023,C02442,P0037,M06,1,181.68,0.0,boutique,retourne,Bordeaux
CMD0011324,24/06/2023,C01656,P0015,M99,3,506.54,0.0,web,annule,NANTES
CMD0007137,2024-07-13,C01566,P0036,M05,2,227.67,0.0,boutique,livre,Nantes
CMD0005338,2024/12/13 14:40,C01090,P0037,M01,3,162.43,0.0,boutique,livre,  Lyon 
CMD0005867,2024-12-18,C01612,P0023,M08,6,94.16,20.0,telephone,annule,  Marseille 
CMD0002076,2023/01/17 15:27,C01276,P0039,M08,2,299.01,20.0,telephone,livre,Strasbourg
CMD0001610,2024-01-13,C02956,P0026,M01,2,266.45,10.0,boutique,retourne,Marseille
CMD0002217,2024/03/20 08:59,C00629,P0018,M04,2,93.05,5.0,  web ,livre,Strasbourg
CMD0010948,2023/06/10 18:05,C02175,P0013,M02,1,814.33,20.0,telephone,livre,Nantes
CMD0014381,2024/07/15 19:28,C01143,P0031,M07,3,829.45,20.0,web,livre,strasbourg
CMD0013604,2023-03-21,C02043,P0007,M05,1,"882,73 EUR",5.0,TELEPHONE,livre,lille
CMD0008013,2024/07/28 13:09,C01836,P0037,M03,2,171.17,0.0,telephone,livre,Lyon
CMD0013179,19-09-2023,C00579,P0007,M04,1,858.62,0.0,web,retourne,LYON
CMD0005277,16-06-2023,C02561,P0004,M03,3,784.41,15.0,web,livre,Nantes
CMD0000299,2023-12-26,C00177,P0021,M06,2,965.17,0.0,WEB,livre,Paris
CMD0007771,2024/07/26 20:29,C02793,P0033,M04,3,401.69,0.0,boutique,retourne,Lyon
CMD0012677,12-01-2023,C02520,P0002,M01,1,491.02,0.0,TELEPHONE,livre,Lille
CMD0016440,2023-08-03,C01942,P0013,M07,2,795.01,5.0,TELEPHONE,livre,Lille
CMD0001767,26-11-2024,C01198,P0021,M02,6,925.4,0.0,web,livre,Nantes
CMD0017372,07-01-2024,C02854,P0036,M02,2,222.23,10.0,  boutique ,annule,Strasbourg
CMD0011677,11/11/2023,C00983,P0019,M03,5,987.93,5.0,web,livre,marseille
CMD0007861,2023/08/26 15:47,C00626,P0027,M08,3,603.57,0.0,web,livre,Lyon
CMD0009539,2024-12-23,C02842,P0003,M99,3,1047.31,15.0,boutique,livre,Strasbourg
CMD0008646,27/01/2023,C01937,P0025,M06,3,851.63,5.0,boutique,retourne,Marseille
CMD0016687,18-02-2023,C02700,P0030,M01,1,816.8,0.0,WEB,livre,Bordeaux
CMD0015170,06-08-2024,C02312,P0015,M04,2,578.21,5.0,web,livre,Bordeaux
CMD0012208,08 Jul 2023,C02852,P0024,M06,1,1040.98,20.0,telephone,livre,bordeaux
CMD0007500,22 Jan 2023,C00559,P0006,M04,3,"1107,70 EUR",0.0,web,livre,  Paris 
CMD0010766,,C01124,P0006,M99,2,1198.86,0.0,boutique,annule,paris
CMD0001066,2023/06/25 20:59,C00668,P0011,M02,3,423.13,10.0,BOUTIQUE,livre,Nantes
CMD0006759,22-03-2023,C00391,P0026,M06,2,"261,73 EUR",,web,livre,  Nantes 
CMD0003398,2024/03/29 20:51,C00689,P0004,M07,1,919.66,0.0,web,livre,Lille
CMD0014440,24/10/2023,C02660,P0031,M08,2,817.78,0.0,boutique,retourne,STRASBOURG
CMD0003834,2023/10/31 18:33,C01924,P0028,M05,2,64.6,0.0,web,annule,Marseille
CMD0009989,2024/08/30 15:29,C01957,P0019,M07,3,917.96,,  boutique ,livre,Paris
CMD0007684,2024/01/14 12:14,C02059,P0007,M03,2,944.84,15.0,boutique,livre,marseille
CMD0001127,28-02-2024,C00019,P0038,M01,1,522.96,20.0,web,livre,Nantes
CMD0013981,06/02/2023,C02661,P0037,M03,2,174.86,0.0,web,livre,PARIS
CMD0003617,12/04/2023,C00428,P0027,M06,1,609.7,0.0,boutique,retourne,NANTES
CMD0008350,05-07-2023,C01584,P0015,M08,3,555.35,0.0,web,retourne,Bordeaux
CMD0000943,2023/10/10 13:55,C02334,P0025,M02,1,921.59,0.0,web,livre,Lille
CMD0014211,,C00014,P0035,M05,3,583.51,0.0,  boutique ,livre,  Nantes 
CMD0003391,08-04-2024,C00070,P0039,M99,3,263.71,0.0,boutique,livre,Bordeaux
CMD0000891,05 Jul 2024,C00448,P0010,M02,2,572.8,15.0,boutique,livre,Marseille
CMD0006170,2023/11/09 14:19,C01280,P0004,M08,6,776.69,5.0,web,retourne,Bordeaux
CMD0005556,08 Jun 2023,C00124,P0027,M07,1,601.91,20.0,boutique,retourne,Lille
CMD0011299,30-06-2023,C00331,P0025,M06,3,1002.98,0.0,web,livre,MARSEILLE
CMD0007963,31-01-2023,C00201,P0021,M04,1,860.01,,boutique,livre,toulouse
CMD0002656,18/04/2024,C02550,P0005,M08,1,121.92,15.0,web,livre,Bordeaux
CMD0000734,05 Oct 2023,C02976,P0033,M06,2,413.48,0.0,boutique,livre,lille
CMD0016101,2023-09-28,C01033,P0026,M08,3,269.12,0.0,WEB,livre,toulouse
CMD0002970,16 Oct 2023,C02649,P0020,M07,2,722.13,0.0,web,livre,lille
CMD0010641,2023/12/23 11:04,C02600,P0034,M99,4,465.03,20.0,boutique,livre,Nantes
CMD0006377,02 Apr 2024,C00923,P0030,M05,2,806.65,5.0,boutique,livre,TOULOUSE
CMD0006375,03 Dec 2024,C01361,P0021,M02,3,884.92,15.0,web,livre,LILLE
CMD0007504,2023/12/14 10:07,C01556,P0027,M06,1,515.38,15.0,boutique,livre,Lille
CMD0000021,18/07/2023,C02178,P0006,M99,3,1084.81,0.0,  web ,retourne,Toulouse
CMD0009402,07-11-2024,C01960,P0018,M03,4,91.74,0.0,boutique,annule,Nantes
CMD0013687,14-07-2023,C00966,P0012,M01,1,1125.66,10.0,web,annule,Nantes
CMD0001905,2024-08-12,C00527,P0037,M99,3,153.7,0.0,web,livre,Bordeaux
CMD0012256,2023-01-01,C00342,P0001,M01,1,957.89,0.0,web,livre,Marseille
CMD0014717,2023-08-04,C02357,P0013,M03,2,794.15,,boutique,livre,Lille
CMD0002975,13-01-2023,C00686,P0026,M05,3,230.07,20.0,web,annule,Lille
CMD0001505,18/06/2024,C00171,P0036,M04,1,238.05,0.0,telephone,livre,Toulouse
CMD0006656,2023-07-09,990007,P0029,M06,1,187.27,10.0,boutique,livre,Bordeaux
CMD0005060,26/08/2024,C00263,P0032,M02,3,1196.46,5.0,web,livre,Lille
CMD0010917,11/09/2024,C02126,P0009,M06,2,181.14,,web,annule,Toulouse
CMD0010237,25/03/2023,C01067,P0003,M08,3,1029.48,15.0,  web ,annule,Lyon
CMD0005579,29-08-2023,C00105,P0002,M99,1,550.83,20.0,web,livre,Strasbourg
CMD0009820,26-03-2024,C01542,P0033,M06,3,430.68,5.0,web,livre,Marseille
CMD0000757,19-10-2023,C01530,P0039,M08,3,306.6,0.0,web,retourne,Toulouse
CMD0014797,08/09/2024,C02438,P0020,M03,3,720.06,10.0,WEB,livre,  Lille 
CMD0005611,30/07/2024,C01350,P0008,M04,2,957.75,10.0,web,annule,Lille
CMD0012141,2024-12-07,C02794,P0010,M02,3,543.63,15.0,web,livre,Paris
CMD0001791,2024/10/14 13:09,C02442,P0014,M01,3,1011.74,0.0,boutique,livre,Lille
CMD0002765,2023/12/02 19:14,C02516,P0019,M03,4,930.29,0.0,web,livre,Toulouse
CMD0001933,2024-10-20,C01879,P0029,M04,1,210.48,0.0,web,retourne,Paris
CMD0010118,2023/11/23 09:43,C00640,P0004,M01,2,863.36,5.0,web,livre,Lyon
CMD0008595,2024-04-17,C02283,P0031,M03,2,"836,57 EUR",5.0,web,livre,Strasbourg
CMD0005086,11 Aug 2024,C02223,P0037,M08,1,171.56,0.0,boutique,livre,  Nantes 
CMD0004203,17-09-2024,C01894,P0024,M03,1,1165.19,20.0,WEB,livre,nantes
CMD0013656,29-10-2023,C00743,P0039,M02,2,257.13,0.0,telephone,livre,Nantes
CMD0016974,31-10-2023,C02435,P9999,M07,1,464.11,10.0,web,livre,Toulouse
CMD0001349,10 Jul 2023,C02379,P0029,M05,3,207.86,15.0,  web ,livre,Lyon
CMD0014425,19 May 2023,C01106,P0004,M03,3,825.89,20.0,web,livre,Toulouse
CMD0001830,01 Sep 2024,C00501,P0031,M02,1,938.29,0.0,boutique,annule,Lyon
CMD0010252,2024/01/18 13:52,C00424,P0007,M02,3,829.26,,web,retourne,Nantes
CMD0015556,2024-10-13,C00460,P0005,M04,3,134.59,0.0,telephone,livre,Toulouse
CMD0000463,2023/10/10 13:20,C00035,P0016,M03,3,311.7,20.0,WEB,retourne,paris
CMD0000331,2023/02/13 17:09,C02535,P0034,M03,3,465.12,15.0,telephone,annule,Paris
CMD0016546,13 Mar 2023,C02082,P0027,M06,2,619.6,0.0,telephone,retourne,paris
CMD0009111,2023-05-12,C01559,P0004,M99,3,846.17,10.0,web,livre,Bordeaux
CMD0007091,2024/01/30 12:30,C02334,P0019,M04,1,926.25,5.0,boutique,livre,Strasbourg
CMD0010265,04/02/2023,C01540,P0026,M01,1,269.18,10.0,telephone,livre,Marseille
CMD0001375,28-01-2024,C02146,P0028,M07,3,70.02,0.0,  web ,livre,Nantes
CMD0013931,2023/10/14 10:49,C02837,P0016,M06,1,307.13,0.0,web,retourne,Bordeaux
CMD0003093,03/05/2024,C01383,P0032,M04,2,1098.5,20.0,web,retourne,Nantes
CMD0017036,2023-02-05,C02189,P0029,M03,3,191.52,10.0,web,retourne,Bordeaux
CMD0002095,2023/11/19 18:07,C02289,P0039,M01,3,278.75,10.0,telephone,retourne,  Lille 
CMD0008435,14 Aug 2023,C00089,P0005,M02,1,"133,30 EUR",0.0,WEB,livre,Nantes
CMD0010305,2024/12/18 18:39,C02240,P0016,M06,1,261.67,0.0,web,annule,Lille
CMD0001548,05/06/2024,C00821,P0032,M01,2,1216.17,0.0,web,livre,Paris
CMD0008674,2024-09-20,C01272,P0014,M04,3,1019.8,20.0,WEB,livre,Toulouse
CMD0013035,14/04/2024,C00296,P0014,M02,2,"1013,34 EUR",20.0,web,annule,TOULOUSE
CMD0014569,2024/10/07 10:10,C00044,P0006,M04,1,1230.47,,boutique,retourne,Strasbourg
CMD0005053,2024/05/16 19:36,C02584,P0032,M99,1,1246.51,0.0,boutique,livre,Lille
CMD0015900,04/01/2023,C01933,P0013,M01,3,750.14,0.0,boutique,livre,TOULOUSE
CMD0010368,26-04-2023,C00461,P0012,M06,3,1092.01,10.0,web,livre,MARSEILLE
CMD0002516,2023/07/30 18:57,C00692,P0026,M05,2,264.04,15.0,WEB,livre,Nantes
CMD0009490,26-03-2023,C01270,P0023,M05,2,98.0,20.0,web,annule,MARSEILLE
CMD0007794,05-03-2024,C02619,P0009,M02,2,179.31,20.0,web,annule,Bordeaux
CMD0003378,2023-06-01,C01030,P0039,M08,2,272.05,0.0,web,livre,Bordeaux
CMD0015281,2023/11/01 09:30,C01532,P0028,M06,2,"61,13 EUR",,web,annule,LYON
CMD0010823,2024/01/16 17:36,C00403,P0031,M02,2,960.25,15.0,WEB,livre,Paris
CMD0011656,2024-08-08,C01978,P0027,M01,2,534.87,10.0,  telephone ,annule,Marseille
CMD0006563,02 Feb 2023,C01439,P0011,M07,1,418.21,,web,livre,NANTES
CMD0010574,16/07/2024,C00466,P0015,M07,1,593.01,20.0,boutique,livre,Nantes
CMD0014073,2023/05/27 13:36,C01875,P0003,M08,2,940.92,15.0,web,livre,PARIS
CMD0013380,14/03/2024,C02365,P0017,M04,3,720.09,15.0,WEB,livre,Geneve
CMD0004464,14-11-2023,C02965,P0005,M03,3,138.07,0.0,web,retourne,Toulouse
CMD0001444,2024-07-28,C01821,P0030,M99,1,"813,75 EUR",0.0,BOUTIQUE,livre,  Paris 
CMD0012924,01 Feb 2024,C01663,P0017,M04,1,677.65,0.0,boutique,retourne,Lille
CMD0012127,2023/11/29 15:21,C00019,P0029,M03,3,188.43,20.0,boutique,livre,Strasbourg
CMD0004562,2024-03-19,C01802,P0027,M06,3,596.68,15.0,  boutique ,livre,  Strasbourg 
CMD0012663,2024-07-21,C01108,P0006,M06,2,1272.74,5.0,web,livre,strasbourg
CMD0008786,2023-09-13,C02649,P0019,M06,3,1036.65,0.0,web,retourne,Lyon
CMD0000964,07/07/2023,C00358,P0036,M04,2,222.63,15.0,web,livre,Strasbourg
CMD0017162,08 Jul 2024,C00449,P0024,M04,3,1121.01,0.0,TELEPHONE,livre,Toulouse
CMD0010228,09 Nov 2023,C01794,P0039,M01,3,261.88,15.0,boutique,annule,STRASBOURG
CMD0005213,2024-05-27,C02901,P0031,M99,2,830.73,20.0,web,livre,Lyon
CMD0008612,16 Nov 2023,C00814,P0014,M07,2,950.97,5.0,boutique,livre,bordeaux
CMD0010196,23-12-2024,C01091,P0017,M08,4,615.72,5.0,web,livre,Paris
CMD0012841,2023/11/19 18:41,C02586,P0010,M99,5,498.49,10.0,telephone,annule,Marseille
CMD0013995,2023/11/19 16:52,C02417,P0020,M01,1,690.9,15.0,telephone,livre,Bordeaux
CMD0002483,01-10-2024,C01534,P0015,M08,3,547.14,0.0,web,livre,  Nantes 
CMD0001397,23 Apr 2023,C02221,P0036,M07,3,228.79,,boutique,livre,Toulouse
CMD0011841,29/04/2024,C02751,P0032,M05,2,1219.01,15.0,boutique,annule,Lille
CMD0016129,18 May 2023,C02729,P0025,M03,2,974.81,20.0,boutique,livre,Nantes
CMD0008133,24 Aug 2023,C01732,P0024,M07,3,1070.55,0.0,boutique,livre,Strasbourg
CMD0011080,2024-04-16,C00545,P0030,M04,3,849.76,10.0,boutique,livre,Paris
CMD0008784,15/12/2024,C01924,P0031,M05,5,971.11,20.0,WEB,livre,Nantes
CMD0014709,2024-02-24,C00391,P0004,M08,2,776.18,0.0,boutique,annule,Marseille
CMD0002169,16/02/2024,C00607,P0018,M08,3,94.84,15.0,  web ,livre,Bordeaux
CMD0012162,27 Aug 2023,C01268,P0013,M02,3,827.43,10.0,boutique,livre,Toulouse
CMD0017317,17/04/2024,C01656,P0019,M02,3,1077.64,,web,livre,Lille
CMD0016272,26 Sep 2024,C02274,P0033,M07,3,403.99,0.0,boutique,annule,  Marseille 
CMD0007340,19-10-2023,C00077,P0020,M02,3,788.2,0.0,boutique,annule,Toulouse
CMD0002694,14-02-2024,990044,P0029,M05,2,216.7,20.0,web,retourne,marseille
CMD0013289,16-06-2023,C01785,P0030,M07,1,829.23,10.0,boutique,livre,Bordeaux
CMD0013313,2023-02-01,C00702,P0030,M99,2,903.21,0.0,  boutique ,livre,Paris
CMD0009368,2023/12/06 12:31,C01967,P0027,M03,2,596.1,10.0,web,livre,Bordeaux
CMD0016405,2023/02/28 15:03,C00748,P0007,M01,3,969.45,20.0,BOUTIQUE,livre,Paris
CMD0001207,16-11-2024,C01819,P0033,M02,3,411.51,,web,livre,Toulouse
CMD0007310,2023-09-14,C01530,P0016,M02,2,297.55,5.0,web,livre,Nantes
CMD0008018,2024/06/14 18:46,C01151,P0023,M03,3,97.87,0.0,web,annule,toulouse
CMD0007667,03 Jun 2024,C01233,P0008,M05,3,870.19,0.0,  telephone ,livre,Marseille
